Episode 346: Score: 7, Total Reward: 60
Episode 347: Score: 2, Total Reward: 10
Episode 348: Score: 7, Total Reward: 60
Episode 349: Score: 0, Total Reward: -10
Episode 350: Score: 1, Total Reward: 0
Episode 351: Score: 11, Total Reward: 100
Episode 352: Score: 5, Total Reward: 40
Episode 353: Score: 0, Total Reward: -10
Episode 354: Score: 1, Total Reward: 0
Episode 355: Score: 0, Total Reward: -10
Episode 356: Score: 9, Total Reward: 80
Episode 357: Score: 0, Total Reward: -10
Episode 358: Score: 7, Total Reward: 60
Episode 359: Score: 2, Total Reward: 10
Episode 360: Score: 0, Total Reward: -10
Episode 361: Score: 0, Total Reward: -10
Episode 362: Score: 14, Total Reward: 130
Episode 363: Score: 3, Total Reward: 20
Episode 364: Score: 2, Total Reward: 10
Episode 365: Score: 5, Total Reward: 40
Episode 366: Score: 3, Total Reward: 20
Episode 367: Score: 4, Total Reward: 30
Episode 368: Score: 0, Total Reward: -10
Episode 369: Score: 5, Total Reward: 40
Episode 370: Score: 7, Total Reward: 60
Episode 371: Score: 8, Total Reward: 70
Episode 372: Score: 2, Total Reward: 10
Episode 373: Score: 3, Total Reward: 20
Episode 374: Score: 10, Total Reward: 90
Episode 375: Score: 0, Total Reward: -10
Episode 376: Score: 2, Total Reward: 10
Episode 377: Score: 0, Total Reward: -10
Episode 378: Score: 8, Total Reward: 70
Episode 379: Score: 6, Total Reward: 50
Episode 380: Score: 1, Total Reward: 0
Episode 381: Score: 1, Total Reward: 0
Episode 382: Score: 6, Total Reward: 50
Episode 383: Score: 20, Total Reward: 190
Episode 384: Score: 6, Total Reward: 50
Episode 385: Score: 7, Total Reward: 60
Episode 386: Score: 8, Total Reward: 70
Episode 387: Score: 3, Total Reward: 20
Episode 388: Score: 8, Total Reward: 70
Episode 389: Score: 3, Total Reward: 20
Episode 390: Score: 0, Total Reward: -10
Episode 391: Score: 6, Total Reward: 50
Episode 392: Score: 1, Total Reward: 0
Episode 393: Score: 1, Total Reward: 0
Episode 394: Score: 5, Total Reward: 40
Episode 395: Score: 5, Total Reward: 40
Episode 396: Score: 0, Total Reward: -10
Episode 397: Score: 5, Total Reward: 40
Episode 398: Score: 7, Total Reward: 60
Episode 399: Score: 3, Total Reward: 20
Episode 400: Score: 1, Total Reward: 0
Episode 401: Score: 1, Total Reward: 0
Episode 402: Score: 6, Total Reward: 50
Episode 403: Score: 0, Total Reward: -10
Episode 404: Score: 0, Total Reward: -10
Episode 405: Score: 0, Total Reward: -10
Episode 406: Score: 11, Total Reward: 100
Episode 407: Score: 0, Total Reward: -10
Episode 408: Score: 16, Total Reward: 150
Episode 409: Score: 1, Total Reward: 0
Episode 410: Score: 0, Total Reward: -10
Episode 411: Score: 3, Total Reward: 20
Episode 412: Score: 2, Total Reward: 10
Episode 413: Score: 13, Total Reward: 120
Episode 414: Score: 17, Total Reward: 160
Episode 415: Score: 0, Total Reward: -10
Episode 416: Score: 6, Total Reward: 50
Episode 417: Score: 7, Total Reward: 60
Episode 418: Score: 1, Total Reward: 0
Episode 419: Score: 13, Total Reward: 120
Episode 420: Score: 1, Total Reward: 0
Episode 421: Score: 13, Total Reward: 120
Episode 422: Score: 17, Total Reward: 160
Episode 423: Score: 0, Total Reward: -10
Episode 424: Score: 2, Total Reward: 10
Episode 425: Score: 5, Total Reward: 40
Episode 426: Score: 8, Total Reward: 70
Episode 427: Score: 1, Total Reward: 0
Episode 428: Score: 0, Total Reward: -10
Episode 429: Score: 0, Total Reward: -10
Episode 430: Score: 0, Total Reward: -10
Episode 431: Score: 22, Total Reward: 210
Episode 432: Score: 6, Total Reward: 50
Episode 433: Score: 1, Total Reward: 0
Episode 434: Score: 0, Total Reward: -10
Episode 435: Score: 0, Total Reward: -10
Episode 436: Score: 4, Total Reward: 30
Episode 437: Score: 2, Total Reward: 10
Episode 438: Score: 0, Total Reward: -10
Episode 439: Score: 0, Total Reward: -10
Episode 440: Score: 0, Total Reward: -10
Episode 441: Score: 1, Total Reward: 0
Episode 442: Score: 6, Total Reward: 50
Episode 443: Score: 5, Total Reward: 40
Episode 444: Score: 0, Total Reward: -10
Episode 445: Score: 1, Total Reward: 0
Episode 446: Score: 9, Total Reward: 80
Episode 447: Score: 15, Total Reward: 140
Episode 448: Score: 25, Total Reward: 240
Episode 449: Score: 6, Total Reward: 50
Episode 450: Score: 27, Total Reward: 260
Episode 451: Score: 18, Total Reward: 170
Episode 452: Score: 5, Total Reward: 40
Episode 453: Score: 0, Total Reward: -10
Episode 454: Score: 4, Total Reward: 30
Episode 455: Score: 9, Total Reward: 80
Episode 456: Score: 9, Total Reward: 80
Episode 457: Score: 6, Total Reward: 50
Episode 458: Score: 11, Total Reward: 100
Episode 459: Score: 12, Total Reward: 110
Episode 460: Score: 25, Total Reward: 240
Episode 461: Score: 17, Total Reward: 160
Episode 462: Score: 5, Total Reward: 40
Episode 463: Score: 12, Total Reward: 110
Episode 464: Score: 12, Total Reward: 110
Episode 465: Score: 14, Total Reward: 130
Episode 466: Score: 7, Total Reward: 60
Episode 467: Score: 3, Total Reward: 20
Episode 468: Score: 2, Total Reward: 10
Episode 469: Score: 16, Total Reward: 150
Episode 470: Score: 14, Total Reward: 130
Episode 471: Score: 4, Total Reward: 30
Episode 472: Score: 4, Total Reward: 30
Episode 473: Score: 4, Total Reward: 30
Episode 474: Score: 0, Total Reward: -10
Episode 475: Score: 3, Total Reward: 20
Episode 476: Score: 7, Total Reward: 60
Episode 477: Score: 12, Total Reward: 110
Episode 478: Score: 2, Total Reward: 10
Episode 479: Score: 5, Total Reward: 40
Episode 480: Score: 5, Total Reward: 40
Episode 481: Score: 0, Total Reward: -10
Episode 482: Score: 1, Total Reward: 0
Episode 483: Score: 2, Total Reward: 10
Episode 484: Score: 6, Total Reward: 50
Episode 485: Score: 1, Total Reward: 0
Episode 486: Score: 16, Total Reward: 150
Episode 487: Score: 1, Total Reward: 0
Episode 488: Score: 3, Total Reward: 20
Episode 489: Score: 16, Total Reward: 150
Episode 490: Score: 0, Total Reward: -10
Episode 491: Score: 4, Total Reward: 30
Episode 492: Score: 0, Total Reward: -10
Episode 493: Score: 0, Total Reward: -10
Episode 494: Score: 2, Total Reward: 10
Episode 495: Score: 3, Total Reward: 20
Episode 496: Score: 1, Total Reward: 0
Episode 497: Score: 6, Total Reward: 50
Episode 498: Score: 16, Total Reward: 150
Episode 499: Score: 6, Total Reward: 50
Episode 500: Score: 9, Total Reward: 80
